post_id,text,annotator_labels,token_length
1083511217866661888_twitter,<user> she highkey seems to be one of those deluded sjw liberal muslims lol,"[1, 1, 2]",14
1260367393097953280_twitter,my friends amp my boo not tryna drunk with me this is ghetto,"[1, 1, 2]",13
3065094_gab,french start backing marine for french president as she says she will stop islam take france out of eu poll lead jump,"[1, 1, 2]",22
17714719_gab,when moslems flee moslem countries dont that make them islamophobic,"[1, 0, 1]",10
4721154_gab,<number> women and a child among the collateral damage in latest op obama bombed a doctors without borders hospital scotus,"[2, 1, 1]",20
1256344933906161664_twitter,<user> it ’ also homophobic,"[2, 1, 1]",5
27524955_gab,that amazing that you actually believe everyone watches tv you seem to be pretty deep into the sjw ghetto,"[2, 1, 1]",19
26969039_gab,for the first time in decades saudis to let women drive cars and fly,"[0, 1, 1]",14
9656675_gab,i wish i cant get on twitter anymore they banned me for fighting with a muslim who threatened me potus he needs to end twitter,"[1, 1, 2]",25
18723798_gab,nation of islam they wear b ties,"[1, 1, 2]",7
1178713178936676354_twitter,btw she also said that hitler dindu nuffin,"[0, 1, 1]",8
1255686268786225153_twitter,<user> sikh community always helpful to others specially they help muslims in india in caa nrc protest allah bless,"[0, 1, 1]",19
15883057_gab,<number> genetics by current estimates ghetto dwellers breed more ghetto dwellers welfare is dysgenics writ large,"[1, 2, 1]",16
21201098_gab,i thought it was because they wanted to be prettier than the liberal women 🤣 🤣 🤣 🤣 🤣,"[1, 2, 1]",19
1178871654128050176_twitter,<user> <user> <user> <user> i dindu nuffin,"[1, 1, 2]",7
14496091_gab,damnit you got another muslim cut the line son,"[2, 1, 1]",9
1214172457101385734_twitter,<user> you ’ re in school the ghetto 💀,"[2, 1, 1]",9
25603522_gab,pro tip for any of our free speech facebook group refugees here click your profile photo in the upper right corner select dark mode trust me you will thank me honestly dark mode should be the gab default with how much better looking it makes the site,"[1, 2, 1]",47
14783877_gab,2 x 3 xy <number> x <number> y solve for xy shibshastihtudes the way to reach ghetto mathematicians is ghetto up the work and all dat <number> shib <number> shib shastihtudes <number> shib shib shastithudes <number> 3 shastitudes <number> shib shastihtudes <number> shastidudes <number> shib <number> and all dat,"[1, 2, 1]",49
1199061529007493121_twitter,<user> not pacsun though because im not a dyke 🚫 🏳 ️ ‍ 🌈 🚫,"[1, 1, 0]",15
1185359962593087489_twitter,petty betty back at it again this is my life how ghetto,"[2, 1, 1]",12
1231615179097550849_twitter,bouta get real ghetto,"[2, 1, 1]",4
1246266960943472640_twitter,soo what countries taking american refugees because this system is acrumbling,"[1, 1, 2]",11
1197965498647867392_twitter,i need to stop using all my high speed data before it resets not being able to see photos is so ghetto,"[2, 1, 1]",22
23996546_gab,attention women of all genders,"[1, 2, 1]",5
14827428_gab,strikes what israel is too small for immigrants,"[1, 1, 2]",8
1114704091467399168_twitter,no more wrestlemania week in new york cause the ghetto thee ghetto,"[2, 1, 1]",12
1178011413417201664_twitter,i think im gunna start a dyke club here at mary wash,"[1, 1, 2]",12
1179078219636629506_twitter,<user> <user> <user> unfortunately i have witnessed christianity expressed as totalitarian and dogmatic and frankly repulsive as islam by refugees but they are in the minority in the current refugee influx that could change though,"[1, 0, 1]",35
1081593414314049541_twitter,<user> feminazi macumbeira kk,"[1, 2, 1]",4
27106705_gab,i am the reaction to the shitskin invasion,"[1, 1, 0]",8
1211716604016369665_twitter,<user> graysons the ghetto currently,"[1, 2, 1]",5
1103744752724324353_twitter,if you tuck your jeans into your socks i hate you,"[1, 0, 1]",11
1235485141084131329_twitter,follow <user> and get follow back shehnazians bhai ka old account suspend ho gya plz follow kro sare westandbyyousana,"[1, 2, 1]",19
22639477_gab,stand up and be counted feel free to message me with any questions the ikk kk is currently taking applications we are looking for honest christian men and women who are ready to make a change ik org,"[1, 1, 0]",38
1092641093584408576_twitter,<user> <user> is the first beneficiary of undocumented immigrants he cannot run his golf courses without them,"[1, 1, 2]",17
19112105_gab,they will pay to have the holocaust industry accuse them of atrocities just like takes place in poland,"[2, 1, 1]",18
1196432493135577088_twitter,<user> islamophobia is not just in the mind islamist extremists are for real these are hardened moderate muslims,"[1, 2, 1]",18
1094980001110388737_twitter,<user> <user> and she was allowed here as a refugee ong,"[1, 1, 2]",11
6702497_gab,men must not confuse chivalry with letting women walk all over you,"[2, 1, 1]",12
1245913104283656193_twitter,<user> chalo jo bhi hua sahi hua for them only islam is important nothing else,"[1, 1, 2]",15
1231787573397409792_twitter,<user> its in malaysia and indonesia too are all of those islam ke dushman,"[1, 1, 0]",14
15751007_gab,i am a liberal and i have consensual sex with more women than the guys you see in porn,"[2, 1, 1]",19
1166667993348280320_twitter,thread sur <user> aka le negrophobe,"[1, 2, 1]",6
17563616_gab,i am so ghetto,"[1, 2, 1]",4
1171521116570959872_twitter,<user> omg yes arab muslims rise 👁 ️ 👄 👁 ️,"[1, 2, 1]",11
1183598610778222592_twitter,<user> or stop letting so many immigrants in might also help,"[2, 1, 1]",11
1181235518908047360_twitter,working really is ghetto,"[2, 1, 1]",4
25936116_gab,enjoy your new drama filled scandalous royalty england this is what happens when you take a ghetto <number> y o divorcee and try to make her a princess,"[2, 1, 1]",28
1115973667014496256_twitter,<user> there was no moslem ban,"[1, 1, 2]",6
1260448846041227264_twitter,ghetto how i ’ m not cuddling and receiving kisses rn 🥱,"[1, 1, 2]",12
1123690490136756225_twitter,<user> helping immigrants from all over the world drain the prosperity from developed nations via un immigration pact,"[1, 1, 2]",18
17042995_gab,some of the moslem invaders being honoured by the british regime,"[1, 1, 0]",11
1178284117038813184_twitter,<user> bat ching chong,"[1, 0, 1]",4
1187192156194328577_twitter,to cold to be sleeping alone ghetto,"[2, 1, 1]",7
17941100_gab,<user> may as well put you to good use <user> this is an example of a muslim catfish study it have fun with it but if you want to cry at me for a few more hrs i suppose that would just say some thing no,"[1, 1, 2]",46
1178605473743982594_twitter,me 🤝 looking like a dyke every day,"[1, 2, 1]",8
22398797_gab,silent weapons for quiet wars by hartford van dyke adventures in legalland by marc stevens dispatch of merchants by bill avery vacate void judgement by richard cornforth and school ten by gene keating,"[1, 1, 0]",33
21276945_gab,loll calling me a zhid and pedophile when i am neither,"[2, 1, 1]",11
1178082052513468417_twitter,<user> <user> a camel jockey midde east watering station,"[1, 1, 2]",9
1179078926955683841_twitter,just remembered that renee is a lesbian the dykes won this one,"[2, 1, 1]",12
1179895157757489158_twitter,paying my own bills so ghetto 🥴,"[1, 1, 2]",7
27673860_gab,twitter is agaisnt all non muslim holidays,"[1, 1, 2]",7
25022515_gab,now nik omar is da man perfect timing awesome strategy tetiba semua orang suka religious man atheist pon mungkin masuk islam nanti,"[1, 1, 2]",22
1178643316847431681_twitter,kashmir lockdown should stay for <number> years just like kashmir pundits stayed refugee for <number> years that would be a perfect poetic justice,"[1, 1, 0]",23
1178784070463045632_twitter,everybody say dyke keep it goin,"[2, 1, 1]",6
20318223_gab,the heeb fears the muramasa,"[2, 1, 1]",5
13215907_gab,gee i wonder why anita sarkeesian is not speaking out about harvey weinstein or andy signore sexual harassment on women 🤔,"[1, 1, 2]",21
21162135_gab,i am so glad i am home time to stare at the wall and listen to some sweet music see ya later niggerz,"[1, 1, 0]",23
13449104_gab,looked like a religious riot to me except that it was not in a muslim country theres your freedom of speech or to congregate imposing their will on others its coming to a western nation near you,"[1, 1, 0]",37
1208582490052423686_twitter,some y ’ all are ghetto asf 🥱,"[1, 2, 1]",8
1165283220629442560_twitter,getting paid biweekly is so ghetto,"[1, 2, 1]",6
1087056935671586817_twitter,<user> the person who gave me my maga hat is a child of legal mexican immigrants,"[2, 1, 1]",16
1178285709964316679_twitter,<user> <user> <user> bring your canoe,"[1, 1, 2]",6
1109087701960146945_twitter,<user> 😂 😂 tell me about it they have been co opted by immigrants that why 🤷 🏽 ‍ ♀ ️,"[1, 2, 1]",21
1220265243005288448_twitter,iokanopenprison human rights organisations are sleeping for kashmirs because they are muslims <user> <user>,"[1, 0, 1]",14
1194611863226605568_twitter,<user> are you gonna cry becuase someone insulted your precious ching chong singers,"[1, 1, 2]",13
1105564033632165888_twitter,<user> reported for targeted harassment,"[1, 2, 1]",5
1178830333246087169_twitter,<user> so basically she saying amari dindu nuffin,"[0, 1, 1]",8
15972746_gab,police are reporting they are on the look out for moslem convert terror suspect al samel haeed,"[2, 1, 1]",17
1146423210973573120_twitter,<user> <user> but answer the question first ya islam mein sawaal puchna bhi haraam hai,"[1, 2, 1]",15
