post_id,text,speech_act
14783877_gab,2 x 3 xy <number> x <number> y solve for xy shibshastihtudes the way to reach ghetto mathematicians is ghetto up the work and all dat <number> shib <number> shib shastihtudes <number> shib shib shastithudes <number> 3 shastitudes <number> shib shastihtudes <number> shastidudes <number> shib <number> and all dat,GROUP_STATEMENT
1199061529007493121_twitter,<user> not pacsun though because im not a dyke 🚫 🏳 ️ ‍ 🌈 🚫,UNCLEAR
1185359962593087489_twitter,petty betty back at it again this is my life how ghetto,UNCLEAR
1231615179097550849_twitter,bouta get real ghetto,IMPERATIVE
1246266960943472640_twitter,soo what countries taking american refugees because this system is acrumbling,UNCLEAR
1197965498647867392_twitter,i need to stop using all my high speed data before it resets not being able to see photos is so ghetto,WISH_DESIRE
23996546_gab,attention women of all genders,SHORT_LABEL
14827428_gab,strikes what israel is too small for immigrants,UNCLEAR
1114704091467399168_twitter,no more wrestlemania week in new york cause the ghetto thee ghetto,UNCLEAR
1178011413417201664_twitter,i think im gunna start a dyke club here at mary wash,UNCLEAR
1179078219636629506_twitter,<user> <user> <user> unfortunately i have witnessed christianity expressed as totalitarian and dogmatic and frankly repulsive as islam by refugees but they are in the minority in the current refugee influx that could change though,UNCLEAR
1081593414314049541_twitter,<user> feminazi macumbeira kk,SHORT_LABEL
27106705_gab,i am the reaction to the shitskin invasion,UNCLEAR
1211716604016369665_twitter,<user> graysons the ghetto currently,SHORT_LABEL
1103744752724324353_twitter,if you tuck your jeans into your socks i hate you,DIRECT_ADDRESS
1235485141084131329_twitter,follow <user> and get follow back shehnazians bhai ka old account suspend ho gya plz follow kro sare westandbyyousana,UNCLEAR
22639477_gab,stand up and be counted feel free to message me with any questions the ikk kk is currently taking applications we are looking for honest christian men and women who are ready to make a change ik org,UNCLEAR
1092641093584408576_twitter,<user> <user> is the first beneficiary of undocumented immigrants he cannot run his golf courses without them,UNCLEAR
19112105_gab,they will pay to have the holocaust industry accuse them of atrocities just like takes place in poland,UNCLEAR
1196432493135577088_twitter,<user> islamophobia is not just in the mind islamist extremists are for real these are hardened moderate muslims,UNCLEAR
1094980001110388737_twitter,<user> <user> and she was allowed here as a refugee ong,UNCLEAR
6702497_gab,men must not confuse chivalry with letting women walk all over you,DIRECT_ADDRESS
1245913104283656193_twitter,<user> chalo jo bhi hua sahi hua for them only islam is important nothing else,UNCLEAR
1231787573397409792_twitter,<user> its in malaysia and indonesia too are all of those islam ke dushman,GROUP_STATEMENT
15751007_gab,i am a liberal and i have consensual sex with more women than the guys you see in porn,DIRECT_ADDRESS
1166667993348280320_twitter,thread sur <user> aka le negrophobe,SHORT_LABEL
17563616_gab,i am so ghetto,SHORT_LABEL
1171521116570959872_twitter,<user> omg yes arab muslims rise 👁 ️ 👄 👁 ️,UNCLEAR
1183598610778222592_twitter,<user> or stop letting so many immigrants in might also help,IMPERATIVE
1181235518908047360_twitter,working really is ghetto,SHORT_LABEL
25936116_gab,enjoy your new drama filled scandalous royalty england this is what happens when you take a ghetto <number> y o divorcee and try to make her a princess,DIRECT_ADDRESS
1115973667014496256_twitter,<user> there was no moslem ban,SHORT_LABEL
1260448846041227264_twitter,ghetto how i ’ m not cuddling and receiving kisses rn 🥱,UNCLEAR
1123690490136756225_twitter,<user> helping immigrants from all over the world drain the prosperity from developed nations via un immigration pact,GROUP_STATEMENT
17042995_gab,some of the moslem invaders being honoured by the british regime,UNCLEAR
1178284117038813184_twitter,<user> bat ching chong,SHORT_LABEL
1187192156194328577_twitter,to cold to be sleeping alone ghetto,UNCLEAR
17941100_gab,<user> may as well put you to good use <user> this is an example of a muslim catfish study it have fun with it but if you want to cry at me for a few more hrs i suppose that would just say some thing no,DIRECT_ADDRESS
1178605473743982594_twitter,me 🤝 looking like a dyke every day,GROUP_STATEMENT
22398797_gab,silent weapons for quiet wars by hartford van dyke adventures in legalland by marc stevens dispatch of merchants by bill avery vacate void judgement by richard cornforth and school ten by gene keating,UNCLEAR
21276945_gab,loll calling me a zhid and pedophile when i am neither,UNCLEAR
1178082052513468417_twitter,<user> <user> a camel jockey midde east watering station,UNCLEAR
1179078926955683841_twitter,just remembered that renee is a lesbian the dykes won this one,UNCLEAR
1179895157757489158_twitter,paying my own bills so ghetto 🥴,UNCLEAR
27673860_gab,twitter is agaisnt all non muslim holidays,GROUP_STATEMENT
25022515_gab,now nik omar is da man perfect timing awesome strategy tetiba semua orang suka religious man atheist pon mungkin masuk islam nanti,UNCLEAR
1178643316847431681_twitter,kashmir lockdown should stay for <number> years just like kashmir pundits stayed refugee for <number> years that would be a perfect poetic justice,WISH_DESIRE
1178784070463045632_twitter,everybody say dyke keep it goin,SHORT_LABEL
20318223_gab,the heeb fears the muramasa,SHORT_LABEL
13215907_gab,gee i wonder why anita sarkeesian is not speaking out about harvey weinstein or andy signore sexual harassment on women 🤔,UNCLEAR
21162135_gab,i am so glad i am home time to stare at the wall and listen to some sweet music see ya later niggerz,UNCLEAR
13449104_gab,looked like a religious riot to me except that it was not in a muslim country theres your freedom of speech or to congregate imposing their will on others its coming to a western nation near you,DIRECT_ADDRESS
1208582490052423686_twitter,some y ’ all are ghetto asf 🥱,GROUP_STATEMENT
1165283220629442560_twitter,getting paid biweekly is so ghetto,SHORT_LABEL
1087056935671586817_twitter,<user> the person who gave me my maga hat is a child of legal mexican immigrants,UNCLEAR
1178285709964316679_twitter,<user> <user> <user> bring your canoe,DIRECT_ADDRESS
1109087701960146945_twitter,<user> 😂 😂 tell me about it they have been co opted by immigrants that why 🤷 🏽 ‍ ♀ ️,NARRATIVE
1220265243005288448_twitter,iokanopenprison human rights organisations are sleeping for kashmirs because they are muslims <user> <user>,UNCLEAR
1194611863226605568_twitter,<user> are you gonna cry becuase someone insulted your precious ching chong singers,DIRECT_ADDRESS
1105564033632165888_twitter,<user> reported for targeted harassment,SHORT_LABEL
1178830333246087169_twitter,<user> so basically she saying amari dindu nuffin,UNCLEAR
15972746_gab,police are reporting they are on the look out for moslem convert terror suspect al samel haeed,UNCLEAR
1146423210973573120_twitter,<user> <user> but answer the question first ya islam mein sawaal puchna bhi haraam hai,UNCLEAR
